month,year,month_no,month_name,quarter,is_history,season
2024-09,2024,9,Sep 2024,Q3,True,Fall
2024-10,2024,10,Oct 2024,Q4,True,Fall
2024-11,2024,11,Nov 2024,Q4,True,Holiday
2024-12,2024,12,Dec 2024,Q4,True,Holiday
2025-01,2025,1,Jan 2025,Q1,True,Winter
2025-02,2025,2,Feb 2025,Q1,True,Winter
2025-03,2025,3,Mar 2025,Q1,True,Spring
2025-04,2025,4,Apr 2025,Q2,True,Spring
2025-05,2025,5,May 2025,Q2,True,Spring
2025-06,2025,6,Jun 2025,Q2,True,Summer
2025-07,2025,7,Jul 2025,Q3,True,Summer
2025-08,2025,8,Aug 2025,Q3,True,Summer
2025-09,2025,9,Sep 2025,Q3,True,Fall
2025-10,2025,10,Oct 2025,Q4,True,Fall
2025-11,2025,11,Nov 2025,Q4,True,Holiday
2025-12,2025,12,Dec 2025,Q4,True,Holiday
2026-01,2026,1,Jan 2026,Q1,True,Winter
2026-02,2026,2,Feb 2026,Q1,True,Winter
2026-03,2026,3,Mar 2026,Q1,True,Spring
2026-04,2026,4,Apr 2026,Q2,True,Spring
2026-05,2026,5,May 2026,Q2,True,Spring
2026-06,2026,6,Jun 2026,Q2,True,Summer
2026-07,2026,7,Jul 2026,Q3,True,Summer
2026-08,2026,8,Aug 2026,Q3,True,Summer
2026-09,2026,9,Sep 2026,Q3,False,Fall
2026-10,2026,10,Oct 2026,Q4,False,Fall
2026-11,2026,11,Nov 2026,Q4,False,Holiday
2026-12,2026,12,Dec 2026,Q4,False,Holiday
2027-01,2027,1,Jan 2027,Q1,False,Winter
2027-02,2027,2,Feb 2027,Q1,False,Winter
2027-03,2027,3,Mar 2027,Q1,False,Spring
2027-04,2027,4,Apr 2027,Q2,False,Spring
2027-05,2027,5,May 2027,Q2,False,Spring
2027-06,2027,6,Jun 2027,Q2,False,Summer
2027-07,2027,7,Jul 2027,Q3,False,Summer
2027-08,2027,8,Aug 2027,Q3,False,Summer
