as_of_month,sku,node,on_hand_units,on_hand_value_usd
2026-08,BTR-1001,DC-West,10541,71375.22
2026-08,BTR-1001,DC-Central,10261,69479.28
2026-08,BTR-1001,DC-East,7246,49064.12
2026-08,BTR-1002,DC-West,6428,46585.64
2026-08,BTR-1002,DC-Central,4875,35330.59
2026-08,BTR-1002,DC-East,5504,39889.14
2026-08,BTR-1003,DC-West,2866,23110.28
2026-08,BTR-1003,DC-Central,2984,24061.78
2026-08,BTR-1003,DC-East,2225,17941.51
2026-08,BTR-1004,DC-West,2792,35742.63
2026-08,BTR-1004,DC-Central,3750,48006.75
2026-08,BTR-1004,DC-East,2031,26000.46
2026-08,BTR-1005,DC-West,2345,34210.74
2026-08,BTR-1005,DC-Central,2020,29469.38
2026-08,BTR-1005,DC-East,2489,36311.52
2026-08,BTR-1101,DC-West,4258,126852.63
2026-08,BTR-1101,DC-Central,3728,111063.08
2026-08,BTR-1101,DC-East,1923,57289.25
2026-08,BTR-1102,DC-West,5876,25888.48
2026-08,BTR-1102,DC-Central,4194,18477.93
2026-08,BTR-1102,DC-East,4081,17980.07
2026-08,BTR-1103,DC-West,408,8227.85
2026-08,BTR-1103,DC-Central,366,7380.87
2026-08,BTR-1103,DC-East,282,5686.9
2026-08,BTR-1201,DC-West,9462,49974.5
2026-08,BTR-1201,DC-Central,5449,28779.44
2026-08,BTR-1201,DC-East,5125,27068.2
2026-08,BTR-1202,DC-West,6452,34076.88
2026-08,BTR-1202,DC-Central,4384,23154.53
2026-08,BTR-1202,DC-East,4678,24707.32
2026-08,BTR-1203,DC-West,5187,27395.66
2026-08,BTR-1203,DC-Central,3334,17608.85
2026-08,BTR-1203,DC-East,3004,15865.93
2026-08,BTR-1204,DC-West,3092,37624.69
2026-08,BTR-1204,DC-Central,3101,37734.21
2026-08,BTR-1204,DC-East,2957,35981.96
2026-08,BTR-1205,DC-West,1809,11006.32
2026-08,BTR-1205,DC-Central,1231,7489.65
2026-08,BTR-1205,DC-East,1025,6236.3
2026-08,BTR-2001,DC-West,8008,30690.66
2026-08,BTR-2001,DC-Central,6262,23999.12
2026-08,BTR-2001,DC-East,5856,22443.12
2026-08,BTR-2002,DC-West,8971,8709.94
2026-08,BTR-2002,DC-Central,7328,7114.76
2026-08,BTR-2002,DC-East,4450,4320.5
2026-08,BTR-2003,DC-West,4269,4799.21
2026-08,BTR-2003,DC-Central,3641,4093.21
2026-08,BTR-2003,DC-East,2103,2364.19
2026-08,BTR-2004,DC-West,4965,12011.33
2026-08,BTR-2004,DC-Central,2954,7146.32
2026-08,BTR-2004,DC-East,3323,8039.0
2026-08,BTR-2005,DC-West,3118,19756.9
2026-08,BTR-2005,DC-Central,2806,17779.94
2026-08,BTR-2005,DC-East,2077,13160.7
2026-08,BTR-2101,DC-West,23800,102340.0
2026-08,BTR-2101,DC-Central,20623,88678.9
2026-08,BTR-2101,DC-East,17174,73848.2
2026-08,BTR-2102,DC-West,4539,16340.4
2026-08,BTR-2102,DC-Central,4132,14875.2
2026-08,BTR-2102,DC-East,5314,19130.4
2026-08,BTR-2103,DC-West,13415,119393.5
2026-08,BTR-2103,DC-Central,8860,78854.0
2026-08,BTR-2103,DC-East,9610,85529.0
2026-08,BTR-2104,DC-West,7854,24347.4
2026-08,BTR-2104,DC-Central,8730,27063.0
2026-08,BTR-2104,DC-East,7580,23498.0
2026-08,BTR-2201,DC-West,1702,55315.0
2026-08,BTR-2201,DC-Central,1326,43095.0
2026-08,BTR-2201,DC-East,1093,35522.5
2026-08,BTR-2202,DC-West,616,8747.2
2026-08,BTR-2202,DC-Central,393,5580.6
2026-08,BTR-2202,DC-East,374,5310.8
2026-08,BTR-2203,DC-West,1409,12415.54
2026-08,BTR-2203,DC-Central,1015,8943.77
2026-08,BTR-2203,DC-East,992,8741.11
2026-08,BTR-2204,DC-West,3056,53856.5
2026-08,BTR-2204,DC-Central,2711,47776.5
2026-08,BTR-2204,DC-East,1684,29677.47
