po_number,sku,supplier_id,node,eta_month,units,fob_value_usd,origin_expense_usd,status
PO-4101,BTR-1001,SUP-01,DC-Central,2026-10,28870,184768.0,10716.54,In transit
PO-4102,BTR-1001,SUP-01,DC-East,2026-11,14628,93619.2,5429.91,Confirmed
PO-4103,BTR-1001,SUP-01,DC-West,2026-12,32047,205100.8,11895.85,Confirmed
PO-4104,BTR-1002,SUP-01,DC-East,2026-10,5025,34421.25,1996.43,In transit
PO-4105,BTR-1002,SUP-01,DC-Central,2026-11,4310,29523.5,1712.36,Confirmed
PO-4106,BTR-1002,SUP-01,DC-East,2026-12,6296,43127.6,2501.4,Confirmed
PO-4107,BTR-1003,SUP-02,DC-East,2026-10,3894,29594.4,1805.26,In transit
PO-4108,BTR-1003,SUP-02,DC-Central,2026-11,1775,13490.0,822.89,Confirmed
PO-4109,BTR-1003,SUP-02,DC-Central,2026-12,2194,16674.4,1017.14,Confirmed
PO-4110,BTR-1004,SUP-01,DC-Central,2026-10,2131,25785.1,1495.54,In transit
PO-4111,BTR-1004,SUP-01,DC-East,2026-11,2417,29245.7,1696.25,Confirmed
PO-4112,BTR-1004,SUP-01,DC-West,2026-12,3581,43330.1,2513.15,Confirmed
PO-4113,BTR-1005,SUP-02,DC-East,2026-10,2963,40741.25,2485.22,In transit
PO-4114,BTR-1005,SUP-02,DC-Central,2026-11,2050,28187.5,1719.44,Confirmed
PO-4115,BTR-1005,SUP-02,DC-West,2026-12,3039,41786.25,2548.96,Confirmed
PO-4116,BTR-1101,SUP-03,DC-East,2026-09,4774,135581.6,6643.5,In transit
PO-4117,BTR-1101,SUP-03,DC-West,2026-10,3636,103262.4,5059.86,Confirmed
PO-4118,BTR-1101,SUP-03,DC-West,2026-11,3609,102495.6,5022.28,Confirmed
PO-4119,BTR-1102,SUP-03,DC-East,2026-09,3555,14931.0,731.62,In transit
PO-4120,BTR-1102,SUP-03,DC-East,2026-10,3389,14233.8,697.46,Confirmed
PO-4121,BTR-1102,SUP-03,DC-East,2026-11,5467,22961.4,1125.11,Confirmed
PO-4122,BTR-1103,SUP-04,DC-West,2026-10,1733,32753.7,2194.5,In transit
PO-4123,BTR-1103,SUP-04,DC-West,2026-11,3110,58779.0,3938.19,Confirmed
PO-4124,BTR-1103,SUP-04,DC-West,2026-12,3787,71574.3,4795.48,Confirmed
PO-4125,BTR-1201,SUP-04,DC-West,2026-10,5079,25141.05,1684.45,In transit
PO-4126,BTR-1201,SUP-04,DC-Central,2026-11,9134,45213.3,3029.29,Confirmed
PO-4127,BTR-1201,SUP-04,DC-Central,2026-12,8817,43644.15,2924.16,Confirmed
PO-4128,BTR-1202,SUP-04,DC-East,2026-10,5478,27116.1,1816.78,In transit
PO-4129,BTR-1202,SUP-04,DC-Central,2026-11,8250,40837.5,2736.11,Confirmed
PO-4130,BTR-1202,SUP-04,DC-Central,2026-12,7055,34922.25,2339.79,Confirmed
PO-4131,BTR-1203,SUP-04,DC-East,2026-10,3532,17483.4,1171.39,In transit
PO-4132,BTR-1203,SUP-04,DC-West,2026-11,3112,15404.4,1032.09,Confirmed
PO-4133,BTR-1203,SUP-04,DC-East,2026-12,4142,20502.9,1373.69,Confirmed
PO-4134,BTR-1204,SUP-03,DC-Central,2026-09,2767,32097.2,1572.76,In transit
PO-4135,BTR-1204,SUP-03,DC-Central,2026-10,2754,31946.4,1565.37,Confirmed
PO-4136,BTR-1205,SUP-03,DC-Central,2026-09,1909,11072.2,542.54,In transit
PO-4137,BTR-1205,SUP-03,DC-West,2026-10,2694,15625.2,765.63,Confirmed
PO-4138,BTR-1205,SUP-03,DC-East,2026-11,3689,21396.2,1048.41,Confirmed
PO-4139,BTR-2001,SUP-05,DC-Central,2026-09,4688,17580.0,386.76,In transit
PO-4140,BTR-2001,SUP-05,DC-Central,2026-10,5661,21228.75,467.03,Confirmed
PO-4141,BTR-2002,SUP-05,DC-East,2026-09,23698,22513.1,495.29,In transit
PO-4142,BTR-2003,SUP-05,DC-West,2026-09,12485,13733.5,302.14,In transit
PO-4143,BTR-2003,SUP-05,DC-East,2026-10,11370,12507.0,275.15,Confirmed
PO-4144,BTR-2004,SUP-09,DC-East,2026-09,3919,9405.6,75.24,In transit
PO-4145,BTR-2005,SUP-05,DC-Central,2026-09,2555,15841.0,348.5,In transit
PO-4146,BTR-2005,SUP-05,DC-Central,2026-10,2229,13819.8,304.04,Confirmed
PO-4147,BTR-2102,SUP-06,DC-Central,2026-09,40775,146790.0,0.0,In transit
PO-4148,BTR-2103,SUP-07,DC-East,2026-09,13440,119616.0,0.0,In transit
PO-4149,BTR-2104,SUP-07,DC-East,2026-09,8963,27785.3,0.0,In transit
PO-4150,BTR-2201,SUP-08,DC-East,2026-09,1338,43485.0,0.0,In transit
PO-4151,BTR-2202,SUP-08,DC-West,2026-09,2036,28911.2,0.0,In transit
PO-4152,BTR-2203,SUP-03,DC-East,2026-09,4756,39950.4,1957.57,In transit
PO-4153,BTR-2203,SUP-03,DC-Central,2026-10,4884,41025.6,2010.25,Confirmed
PO-4154,BTR-2203,SUP-03,DC-East,2026-11,3553,29845.2,1462.41,Confirmed
PO-4155,BTR-2204,SUP-03,DC-West,2026-09,2054,34507.2,1690.85,In transit
PO-4156,BTR-2204,SUP-03,DC-Central,2026-10,2426,40756.8,1997.08,Confirmed
