month,sku,account,units,revenue_usd,cogs_usd
2024-09,BTR-1001,Home Depot,2968,37854.47,20096.92
2024-09,BTR-1001,Lowe's,1737,22154.05,11761.57
2024-09,BTR-1001,Target,1447,18455.33,9797.93
2024-09,BTR-1001,Walmart,1836,23416.71,12431.92
2024-09,BTR-1001,Costco,1456,18570.12,9858.87
2024-09,BTR-1001,Kroger,286,3647.7,1936.56
2024-09,BTR-1001,Whole Foods,465,5930.7,3148.61
2024-09,BTR-1001,Amazon,2699,51041.87,18275.47
2024-09,BTR-1001,DTC Shopify,1570,29690.9,10630.78
2024-10,BTR-1001,Home Depot,2614,33339.48,17699.92
2024-10,BTR-1001,Lowe's,2412,30763.13,16332.13
2024-10,BTR-1001,Target,1777,22664.21,12032.42
2024-10,BTR-1001,Walmart,2438,31094.74,16508.19
2024-10,BTR-1001,Costco,1751,22332.6,11856.37
2024-10,BTR-1001,Kroger,302,3851.77,2044.9
2024-10,BTR-1001,Whole Foods,677,8634.59,4584.1
2024-10,BTR-1001,Amazon,3228,61046.0,21857.43
2024-10,BTR-1001,DTC Shopify,1774,33548.82,12012.11
2024-11,BTR-1001,Home Depot,5595,71359.75,37884.86
2024-11,BTR-1001,Lowe's,4519,57636.23,30599.05
2024-11,BTR-1001,Target,2990,38135.06,20245.89
2024-11,BTR-1001,Walmart,4359,55595.56,29515.66
2024-11,BTR-1001,Costco,2890,36859.64,19568.77
2024-11,BTR-1001,Kroger,681,8685.61,4611.19
2024-11,BTR-1001,Whole Foods,1200,15305.04,8125.44
2024-11,BTR-1001,Amazon,6084,115056.96,41195.98
2024-11,BTR-1001,DTC Shopify,3351,63372.1,22690.29
2024-12,BTR-1001,Home Depot,4780,60965.08,32366.34
2024-12,BTR-1001,Lowe's,3552,45302.92,24051.3
2024-12,BTR-1001,Target,3971,50646.93,26888.44
2024-12,BTR-1001,Walmart,3550,45277.41,24037.76
2024-12,BTR-1001,Costco,2998,38237.09,20300.06
2024-12,BTR-1001,Kroger,589,7512.22,3988.24
2024-12,BTR-1001,Whole Foods,1186,15126.48,8030.64
2024-12,BTR-1001,Amazon,5579,105506.7,37776.52
2024-12,BTR-1001,DTC Shopify,2871,54294.63,19440.12
2025-01,BTR-1001,Home Depot,3080,39282.94,20855.3
2025-01,BTR-1001,Lowe's,1757,22409.13,11897.0
2025-01,BTR-1001,Target,1730,22064.77,11714.18
2025-01,BTR-1001,Walmart,1671,21312.27,11314.68
2025-01,BTR-1001,Costco,1298,16554.95,8789.02
2025-01,BTR-1001,Kroger,221,2818.68,1496.44
2025-01,BTR-1001,Whole Foods,579,7384.68,3920.52
2025-01,BTR-1001,Amazon,2508,47429.79,16982.17
2025-01,BTR-1001,DTC Shopify,1338,25303.45,9059.87
2025-02,BTR-1001,Home Depot,2528,32242.62,17117.59
2025-02,BTR-1001,Lowe's,1339,17077.87,9066.64
2025-02,BTR-1001,Target,1198,15279.53,8111.9
2025-02,BTR-1001,Walmart,1532,19539.43,10373.48
2025-02,BTR-1001,Costco,1178,15024.45,7976.47
2025-02,BTR-1001,Kroger,199,2538.09,1347.47
2025-02,BTR-1001,Whole Foods,421,5369.52,2850.68
2025-02,BTR-1001,Amazon,2197,41548.35,14876.33
2025-02,BTR-1001,DTC Shopify,1284,24282.24,8694.22
2025-03,BTR-1001,Home Depot,2044,26069.58,13840.33
2025-03,BTR-1001,Lowe's,1636,20865.87,11077.68
2025-03,BTR-1001,Target,1406,17932.41,9520.31
2025-03,BTR-1001,Walmart,1691,21567.35,11450.1
2025-03,BTR-1001,Costco,1492,19029.27,10102.63
2025-03,BTR-1001,Kroger,200,2550.84,1354.24
2025-03,BTR-1001,Whole Foods,456,5815.92,3087.67
2025-03,BTR-1001,Amazon,2318,43836.63,15695.64
2025-03,BTR-1001,DTC Shopify,1663,31449.66,11260.51
2025-04,BTR-1001,Home Depot,2594,33084.39,17564.49
2025-04,BTR-1001,Lowe's,1841,23480.48,12465.78
2025-04,BTR-1001,Target,1670,21299.51,11307.9
2025-04,BTR-1001,Walmart,2044,26069.58,13840.33
2025-04,BTR-1001,Costco,1617,20623.54,10949.03
2025-04,BTR-1001,Kroger,281,3583.93,1902.71
2025-04,BTR-1001,Whole Foods,460,5866.93,3114.75
2025-04,BTR-1001,Amazon,2736,51741.59,18526.0
2025-04,BTR-1001,DTC Shopify,1432,27081.12,9696.36
2025-05,BTR-1001,Home Depot,2007,25597.68,13589.8
2025-05,BTR-1001,Lowe's,1170,14922.41,7922.3
2025-05,BTR-1001,Target,1532,19539.43,10373.48
2025-05,BTR-1001,Walmart,1975,25189.54,13373.12
2025-05,BTR-1001,Costco,1334,17014.1,9032.78
2025-05,BTR-1001,Kroger,212,2703.89,1435.49
2025-05,BTR-1001,Whole Foods,464,5917.95,3141.84
2025-05,BTR-1001,Amazon,2580,48791.41,17469.7
2025-05,BTR-1001,DTC Shopify,1400,26475.96,9479.68
2025-06,BTR-1001,Home Depot,1753,22358.11,11869.91
2025-06,BTR-1001,Lowe's,1115,14220.93,7549.89
2025-06,BTR-1001,Target,858,10943.1,5809.69
2025-06,BTR-1001,Walmart,1154,14718.35,7813.96
2025-06,BTR-1001,Costco,1045,13328.14,7075.9
2025-06,BTR-1001,Kroger,202,2576.35,1367.78
2025-06,BTR-1001,Whole Foods,301,3839.01,2038.13
2025-06,BTR-1001,Amazon,1907,36064.04,12912.68
2025-06,BTR-1001,DTC Shopify,1023,19346.36,6926.94
2025-07,BTR-1001,Home Depot,1779,22689.72,12045.96
2025-07,BTR-1001,Lowe's,982,12524.62,6649.32
2025-07,BTR-1001,Target,1041,13277.12,7048.82
2025-07,BTR-1001,Walmart,1287,16414.66,8714.53
2025-07,BTR-1001,Costco,985,12562.89,6669.63
2025-07,BTR-1001,Kroger,193,2461.56,1306.84
2025-07,BTR-1001,Whole Foods,294,3749.73,1990.73
2025-07,BTR-1001,Amazon,1952,36915.05,13217.38
2025-07,BTR-1001,DTC Shopify,1225,23166.46,8294.72
2025-08,BTR-1001,Home Depot,3133,39958.91,21214.17
2025-08,BTR-1001,Lowe's,2278,29054.07,15424.79
2025-08,BTR-1001,Target,1771,22587.69,11991.8
2025-08,BTR-1001,Walmart,1997,25470.14,13522.09
2025-08,BTR-1001,Costco,1949,24857.94,13197.07
2025-08,BTR-1001,Kroger,251,3201.3,1699.57
2025-08,BTR-1001,Whole Foods,686,8749.38,4645.04
2025-08,BTR-1001,Amazon,3250,61462.05,22006.4
2025-08,BTR-1001,DTC Shopify,1695,32054.82,11477.18
2025-09,BTR-1001,Home Depot,2952,37650.4,19988.58
2025-09,BTR-1001,Lowe's,2245,28633.18,15201.34
2025-09,BTR-1001,Target,2200,28059.24,14896.64
2025-09,BTR-1001,Walmart,1747,22281.59,11829.29
2025-09,BTR-1001,Costco,1910,24360.52,12932.99
2025-09,BTR-1001,Kroger,274,3494.65,1855.31
2025-09,BTR-1001,Whole Foods,599,7639.77,4055.95
2025-09,BTR-1001,Amazon,2869,54256.81,19426.57
2025-09,BTR-1001,DTC Shopify,2067,39089.86,13996.07
2025-10,BTR-1001,Home Depot,4514,57572.46,30565.2
2025-10,BTR-1001,Lowe's,3001,38275.35,20320.37
2025-10,BTR-1001,Target,3195,40749.67,21633.98
2025-10,BTR-1001,Walmart,2834,36145.4,19189.58
2025-10,BTR-1001,Costco,2949,37612.14,19968.27
2025-10,BTR-1001,Kroger,432,5509.81,2925.16
2025-10,BTR-1001,Whole Foods,817,10420.18,5532.07
2025-10,BTR-1001,Amazon,5088,96221.2,34451.87
2025-10,BTR-1001,DTC Shopify,2576,48715.77,17442.61
2025-11,BTR-1001,Home Depot,5556,70862.34,37620.79
2025-11,BTR-1001,Lowe's,4646,59256.01,31459.0
2025-11,BTR-1001,Target,3608,46017.15,24430.49
2025-11,BTR-1001,Walmart,4620,58924.4,31282.94
2025-11,BTR-1001,Costco,3441,43887.2,23299.7
2025-11,BTR-1001,Kroger,654,8341.25,4428.36
2025-11,BTR-1001,Whole Foods,1147,14629.07,7766.57
2025-11,BTR-1001,Amazon,6381,120673.64,43207.03
2025-11,BTR-1001,DTC Shopify,2802,52989.74,18972.9
2025-12,BTR-1001,Home Depot,7699,98194.59,52131.47
2025-12,BTR-1001,Lowe's,4718,60174.32,31946.52
2025-12,BTR-1001,Target,4734,60378.38,32054.86
2025-12,BTR-1001,Walmart,5568,71015.39,37702.04
2025-12,BTR-1001,Costco,4210,53695.18,28506.75
2025-12,BTR-1001,Kroger,680,8672.86,4604.42
2025-12,BTR-1001,Whole Foods,1262,16095.8,8545.25
2025-12,BTR-1001,Amazon,6260,118385.36,42387.71
2025-12,BTR-1001,DTC Shopify,4448,84117.91,30118.3
2026-01,BTR-1001,Home Depot,2571,32791.05,17408.76
2026-01,BTR-1001,Lowe's,1739,22179.55,11775.12
2026-01,BTR-1001,Target,1532,19539.43,10373.48
2026-01,BTR-1001,Walmart,1803,22995.82,12208.47
2026-01,BTR-1001,Costco,1390,17728.34,9411.97
2026-01,BTR-1001,Kroger,251,3201.3,1699.57
2026-01,BTR-1001,Whole Foods,545,6951.04,3690.3
2026-01,BTR-1001,Amazon,2501,47297.41,16934.77
2026-01,BTR-1001,DTC Shopify,1546,29237.02,10468.28
2026-02,BTR-1001,Home Depot,1908,24335.01,12919.45
2026-02,BTR-1001,Lowe's,1676,21376.04,11348.53
2026-02,BTR-1001,Target,1232,15713.17,8342.12
2026-02,BTR-1001,Walmart,2015,25699.71,13643.97
2026-02,BTR-1001,Costco,1551,19781.76,10502.13
2026-02,BTR-1001,Kroger,226,2882.45,1530.29
2026-02,BTR-1001,Whole Foods,532,6785.23,3602.28
2026-02,BTR-1001,Amazon,2351,44460.7,15919.09
2026-02,BTR-1001,DTC Shopify,1262,23866.19,8545.25
2026-03,BTR-1001,Home Depot,2879,36719.34,19494.28
2026-03,BTR-1001,Lowe's,1474,18799.69,9980.75
2026-03,BTR-1001,Target,1598,20381.21,10820.38
2026-03,BTR-1001,Walmart,2045,26082.34,13847.1
2026-03,BTR-1001,Costco,1742,22217.82,11795.43
2026-03,BTR-1001,Kroger,291,3711.47,1970.42
2026-03,BTR-1001,Whole Foods,559,7129.6,3785.1
2026-03,BTR-1001,Amazon,2713,51306.63,18370.27
2026-03,BTR-1001,DTC Shopify,1944,36763.76,13163.21
2026-04,BTR-1001,Home Depot,2285,29143.35,15472.19
2026-04,BTR-1001,Lowe's,1314,16759.02,8897.36
2026-04,BTR-1001,Target,1463,18659.39,9906.27
2026-04,BTR-1001,Walmart,1886,24054.42,12770.48
2026-04,BTR-1001,Costco,1329,16950.33,8998.92
2026-04,BTR-1001,Kroger,323,4119.61,2187.1
2026-04,BTR-1001,Whole Foods,448,5713.88,3033.5
2026-04,BTR-1001,Amazon,2269,42909.97,15363.85
2026-04,BTR-1001,DTC Shopify,1712,32376.32,11592.29
2026-05,BTR-1001,Home Depot,2205,28123.01,14930.5
2026-05,BTR-1001,Lowe's,1674,21350.53,11334.99
2026-05,BTR-1001,Target,1612,20559.77,10915.17
2026-05,BTR-1001,Walmart,2160,27549.07,14625.79
2026-05,BTR-1001,Costco,1298,16554.95,8789.02
2026-05,BTR-1001,Kroger,240,3061.01,1625.09
2026-05,BTR-1001,Whole Foods,639,8149.93,4326.8
2026-05,BTR-1001,Amazon,2830,53519.26,19162.5
2026-05,BTR-1001,DTC Shopify,1615,30541.91,10935.49
2026-06,BTR-1001,Home Depot,2637,33632.83,17855.65
2026-06,BTR-1001,Lowe's,1851,23608.02,12533.49
2026-06,BTR-1001,Target,1305,16644.23,8836.42
2026-06,BTR-1001,Walmart,1940,24743.15,13136.13
2026-06,BTR-1001,Costco,1273,16236.1,8619.74
2026-06,BTR-1001,Kroger,236,3009.99,1598.0
2026-06,BTR-1001,Whole Foods,557,7104.09,3771.56
2026-06,BTR-1001,Amazon,2223,42040.04,15052.38
2026-06,BTR-1001,DTC Shopify,1631,30844.49,11043.83
2026-07,BTR-1001,Home Depot,2565,32714.52,17368.13
2026-07,BTR-1001,Lowe's,1927,24577.34,13048.1
2026-07,BTR-1001,Target,1845,23531.5,12492.86
2026-07,BTR-1001,Walmart,2096,26732.8,14192.44
2026-07,BTR-1001,Costco,1746,22268.83,11822.52
2026-07,BTR-1001,Kroger,232,2958.97,1570.92
2026-07,BTR-1001,Whole Foods,509,6491.89,3446.54
2026-07,BTR-1001,Amazon,3273,61897.01,22162.14
2026-07,BTR-1001,DTC Shopify,1875,35458.88,12696.0
2026-08,BTR-1001,Home Depot,2499,31872.75,16921.23
2026-08,BTR-1001,Lowe's,1714,21860.7,11605.84
2026-08,BTR-1001,Target,1802,22983.07,12201.7
2026-08,BTR-1001,Walmart,2052,26171.62,13894.5
2026-08,BTR-1001,Costco,1690,21554.6,11443.33
2026-08,BTR-1001,Kroger,246,3137.53,1665.72
2026-08,BTR-1001,Whole Foods,504,6428.12,3412.68
2026-08,BTR-1001,Amazon,3343,63220.81,22636.12
2026-08,BTR-1001,DTC Shopify,1514,28631.86,10251.6
2024-09,BTR-1002,Home Depot,636,9218.31,4609.28
2024-09,BTR-1002,Lowe's,443,6420.93,3210.55
2024-09,BTR-1002,Target,426,6174.53,3087.35
2024-09,BTR-1002,Walmart,434,6290.48,3145.33
2024-09,BTR-1002,Costco,442,6406.44,3203.31
2024-09,BTR-1002,Kroger,67,971.11,485.57
2024-09,BTR-1002,Whole Foods,122,1768.29,884.17
2024-09,BTR-1002,Amazon,725,15581.26,5254.29
2024-09,BTR-1002,DTC Shopify,378,8123.75,2739.48
2024-10,BTR-1002,Home Depot,1132,16407.43,8203.94
2024-10,BTR-1002,Lowe's,756,10957.62,5478.96
2024-10,BTR-1002,Target,732,10609.75,5305.02
2024-10,BTR-1002,Walmart,949,13755.0,6877.69
2024-10,BTR-1002,Costco,636,9218.31,4609.28
2024-10,BTR-1002,Kroger,118,1710.32,855.18
2024-10,BTR-1002,Whole Foods,271,3927.93,1964.02
2024-10,BTR-1002,Amazon,1119,24048.88,8109.73
2024-10,BTR-1002,DTC Shopify,708,15215.91,5131.09
2024-11,BTR-1002,Home Depot,1434,20784.68,10392.63
2024-11,BTR-1002,Lowe's,1029,14914.53,7457.47
2024-11,BTR-1002,Target,877,12711.41,6355.88
2024-11,BTR-1002,Walmart,928,13450.62,6725.49
2024-11,BTR-1002,Costco,748,10841.66,5420.98
2024-11,BTR-1002,Kroger,144,2087.16,1043.61
2024-11,BTR-1002,Whole Foods,331,4797.58,2398.86
2024-11,BTR-1002,Amazon,1126,24199.32,8160.46
2024-11,BTR-1002,DTC Shopify,1014,21792.28,7348.76
2024-12,BTR-1002,Home Depot,1789,25930.12,12965.42
2024-12,BTR-1002,Lowe's,1400,20291.88,10146.22
2024-12,BTR-1002,Target,1227,17784.38,8892.44
2024-12,BTR-1002,Walmart,1524,22089.16,11044.89
2024-12,BTR-1002,Costco,1232,17856.85,8928.67
2024-12,BTR-1002,Kroger,210,3043.78,1521.93
2024-12,BTR-1002,Whole Foods,425,6160.03,3080.1
2024-12,BTR-1002,Amazon,2600,55877.64,18842.98
2024-12,BTR-1002,DTC Shopify,1501,32258.59,10878.2
