sku,revenue_usd,revenue_share,cumulative_share,abc,cv,demand_class,xyz,segment,review_cadence
BTR-1001,3333383.14,0.11842716524719885,0.11842716524719885,A,0.4603657578970198,Variable,Y,AY,Weekly
BTR-2101,3136257.2199999997,0.11142375072151485,0.2298509159687137,A,0.5991807968489724,Variable,Y,AY,Weekly
BTR-1101,2280693.91,0.08102762365260241,0.3108785396213161,A,0.20900021953491013,Stable,X,AX,Weekly
BTR-2103,2227908.99,0.07915230114065133,0.3900308407619675,A,0.5440908875096861,Variable,Y,AY,Weekly
BTR-2102,1782606.28,0.06333175624457452,0.453362597006542,A,0.6176141047795188,Erratic,Z,AZ,Weekly
BTR-2201,1431379.07,0.0508534898434363,0.5042160868499783,A,0.3920808167830288,Variable,Y,AY,Weekly
BTR-2001,1132791.8900000001,0.04024539835757276,0.5444614852075511,A,0.626126159072471,Erratic,Z,AZ,Weekly
BTR-1002,972813.19,0.03456173610057458,0.5790232213081257,A,0.46148656781844816,Variable,Y,AY,Weekly
BTR-1103,941714.2,0.03345686304126254,0.6124800843493882,A,0.2778042942495286,Variable,Y,AY,Weekly
BTR-1204,927136.14,0.032938939283898246,0.6454190236332864,A,0.5032638032129599,Variable,Y,AY,Weekly
BTR-2202,900001.54,0.03197491156096549,0.677393935194252,A,0.502963445628731,Variable,Y,AY,Weekly
BTR-1201,872475.06,0.03099696127480855,0.7083908964690605,A,0.17037367673847606,Stable,X,AX,Weekly
BTR-1004,829775.6799999999,0.029479953982567628,0.7378708504516281,A,0.4378363028154455,Variable,Y,AY,Weekly
BTR-1005,794148.17,0.028214193391327518,0.7660850438429556,A,0.4300044004545777,Variable,Y,AY,Weekly
BTR-1003,679402.5700000001,0.024137555464674724,0.7902225993076304,A,0.37586501666161015,Variable,Y,AY,Weekly
BTR-2204,675562.06,0.02400111128970253,0.8142237105973329,B,0.8572419636368919,Erratic,Z,BZ,Monthly
BTR-2203,666418.5499999999,0.023676264152655623,0.8378999747499886,B,0.45028407961334255,Variable,Y,BY,Monthly
BTR-1202,593172.43,0.021074003928541047,0.8589739786785296,B,0.20652557664961502,Stable,X,BX,Monthly
BTR-2104,586954.71,0.020853103143070338,0.8798270818216,B,0.5311827170817703,Variable,Y,BY,Monthly
BTR-1102,555906.66,0.01975003986065592,0.8995771216822559,B,0.3310800776580801,Variable,Y,BY,Monthly
BTR-2002,552771.34,0.01963864940712922,0.9192157710893851,B,0.5793490571880198,Variable,Y,BY,Monthly
BTR-2004,530229.01,0.018837774101817965,0.9380535451912031,B,0.6351478744233057,Erratic,Z,BZ,Monthly
BTR-1203,482529.22,0.017143114149650966,0.9551966593408541,C,0.39891999743879997,Variable,Y,CY,Quarterly
BTR-2005,481657.05,0.017112128026431524,0.9723087873672855,C,0.6187837546137054,Erratic,Z,CZ,Quarterly
BTR-2003,439016.07,0.01559719554712388,0.9879059829144095,C,0.5247376260200153,Variable,Y,CY,Quarterly
BTR-1205,340411.7,0.012094017085590672,1.0000000000000002,C,0.20025579503092159,Stable,X,CX,Quarterly
