sku,month,channel,account,node,demand_share,requirement_units,protected_minimum,allocated_units,short_units,fill_rate_pct,allocated_value_usd
BTR-1001,2026-09,Ecommerce,Amazon,DC-East,0.1900104984480555,3269.0,0.0,3269.0,0.0,1.0,22135.05
BTR-1001,2026-09,Retail,Costco,DC-West,0.10359229505203578,1782.0,412.0,1782.0,0.0,1.0,12066.28
BTR-1001,2026-09,Ecommerce,DTC Shopify,DC-West,0.11743427058608727,2021.0,0.0,2021.0,0.0,1.0,13684.6
BTR-1001,2026-09,Retail,Home Depot,DC-West,0.17196914369180208,2959.0,683.0,2959.0,0.0,1.0,20035.98
BTR-1001,2026-09,Retail,Kroger,DC-Central,0.01789300712068651,308.0,71.0,308.0,0.0,1.0,2085.53
BTR-1001,2026-09,Retail,Lowe's,DC-Central,0.11358864341792953,1954.0,451.0,1954.0,0.0,1.0,13230.92
BTR-1001,2026-09,Retail,Target,DC-Central,0.10983430710242834,1890.0,436.0,1890.0,0.0,1.0,12797.57
BTR-1001,2026-09,Retail,Walmart,DC-East,0.13897891181303634,2391.0,552.0,2391.0,0.0,1.0,16189.94
BTR-1001,2026-09,Retail,Whole Foods,DC-East,0.03669892276793865,631.0,146.0,631.0,0.0,1.0,4272.63
BTR-1001,2026-10,Ecommerce,Amazon,DC-East,0.1900104984480555,4579.0,0.0,4579.0,0.0,1.0,31005.32
BTR-1001,2026-10,Retail,Costco,DC-West,0.10359229505203578,2496.0,576.0,2496.0,0.0,1.0,16900.92
BTR-1001,2026-10,Ecommerce,DTC Shopify,DC-West,0.11743427058608727,2830.0,0.0,2830.0,0.0,1.0,19162.5
BTR-1001,2026-10,Retail,Home Depot,DC-West,0.17196914369180208,4144.0,957.0,4144.0,0.0,1.0,28059.85
BTR-1001,2026-10,Retail,Kroger,DC-Central,0.01789300712068651,431.0,100.0,431.0,0.0,1.0,2918.39
BTR-1001,2026-10,Retail,Lowe's,DC-Central,0.11358864341792953,2737.0,632.0,2737.0,0.0,1.0,18532.77
BTR-1001,2026-10,Retail,Target,DC-Central,0.10983430710242834,2647.0,611.0,2647.0,0.0,1.0,17923.37
BTR-1001,2026-10,Retail,Walmart,DC-East,0.13897891181303634,3349.0,773.0,3349.0,0.0,1.0,22676.75
BTR-1001,2026-10,Retail,Whole Foods,DC-East,0.03669892276793865,884.0,204.0,884.0,0.0,1.0,5985.74
BTR-1001,2026-11,Ecommerce,Amazon,DC-East,0.1900104984480555,6006.0,0.0,5696.0,310.0,0.9483849483849484,38568.76
BTR-1001,2026-11,Retail,Costco,DC-West,0.10359229505203578,3275.0,756.0,3145.0,130.0,0.9603053435114504,21295.42
BTR-1001,2026-11,Ecommerce,DTC Shopify,DC-West,0.11743427058608727,3712.0,0.0,3520.0,192.0,0.9482758620689655,23834.62
BTR-1001,2026-11,Retail,Home Depot,DC-West,0.17196914369180208,5436.0,1255.0,5220.0,216.0,0.9602649006622517,35345.66
BTR-1001,2026-11,Retail,Kroger,DC-Central,0.01789300712068651,566.0,131.0,543.0,23.0,0.9593639575971732,3676.76
BTR-1001,2026-11,Retail,Lowe's,DC-Central,0.11358864341792953,3591.0,829.0,3448.0,143.0,0.960178223336118,23347.1
BTR-1001,2026-11,Retail,Target,DC-Central,0.10983430710242834,3472.0,802.0,3334.0,138.0,0.9602534562211982,22575.18
BTR-1001,2026-11,Retail,Walmart,DC-East,0.13897891181303634,4393.0,1015.0,4218.0,175.0,0.9601638971090372,28560.92
BTR-1001,2026-11,Retail,Whole Foods,DC-East,0.03669892276793865,1160.0,268.0,1113.0,47.0,0.9594827586206897,7536.35
BTR-1001,2026-12,Ecommerce,Amazon,DC-East,0.1900104984480555,6829.0,0.0,5948.0,881.0,0.8709913603748719,40275.1
BTR-1001,2026-12,Retail,Costco,DC-West,0.10359229505203578,3723.0,860.0,3353.0,370.0,0.900617781359119,22703.83
BTR-1001,2026-12,Ecommerce,DTC Shopify,DC-West,0.11743427058608727,4221.0,0.0,3676.0,545.0,0.8708836768538261,24890.93
BTR-1001,2026-12,Retail,Home Depot,DC-West,0.17196914369180208,6181.0,1427.0,5567.0,614.0,0.9006633230868791,37695.27
BTR-1001,2026-12,Retail,Kroger,DC-Central,0.01789300712068651,643.0,148.0,579.0,64.0,0.9004665629860031,3920.52
BTR-1001,2026-12,Retail,Lowe's,DC-Central,0.11358864341792953,4083.0,943.0,3677.0,406.0,0.9005633112907176,24897.7
BTR-1001,2026-12,Retail,Target,DC-Central,0.10983430710242834,3948.0,912.0,3556.0,392.0,0.900709219858156,24078.39
BTR-1001,2026-12,Retail,Walmart,DC-East,0.13897891181303634,4995.0,1154.0,4499.0,496.0,0.9007007007007007,30463.63
