division,category,subcategory,sku,actual_units,forecast_units,abs_error,error,wmape,bias_pct,accuracy
Outdoor Gardening,Soils & Media,Potting,BTR-2101,81327.0,88328.0,7659.0,7001.0,0.0941753661145745,0.08608457215930748,0.9058246338854254
Outdoor Gardening,Soils & Media,Starting,BTR-2102,63411.0,54599.0,13688.0,-8812.0,0.21586160129945908,-0.1389664253836085,0.7841383987005409
Indoor Growing,Mushroom Kits,Single Kits,BTR-1001,45085.0,51937.0,6852.0,6852.0,0.15197959410003328,0.15197959410003328,0.8480204058999667
Outdoor Gardening,Soils & Media,Raised Bed,BTR-2103,39860.0,34831.0,16555.0,-5029.0,0.4153286502759659,-0.12616658304064224,0.5846713497240341
Outdoor Gardening,Seeds,Vegetable,BTR-2002,34040.0,36879.0,7307.0,2839.0,0.21465922444183314,0.08340188014101058,0.7853407755581668
Outdoor Gardening,Soils & Media,Amendments,BTR-2104,22342.0,22944.0,4762.0,602.0,0.21314116909855876,0.02694476770208576,0.7868588309014413
Outdoor Gardening,Seeds,Herb,BTR-2003,20805.0,28888.0,8083.0,8083.0,0.3885123768324922,0.3885123768324922,0.6114876231675078
Indoor Growing,Herb Kits,Single Herb,BTR-1201,16253.0,19586.0,3333.0,3333.0,0.2050698332615517,0.2050698332615517,0.7949301667384483
Outdoor Gardening,Seeds,Variety Packs,BTR-2001,15002.0,27044.0,12042.0,12042.0,0.8026929742700973,0.8026929742700973,0.19730702572990266
Outdoor Gardening,Seeds,Flower,BTR-2004,12536.0,18761.0,6225.0,6225.0,0.4965698787492023,0.4965698787492023,0.5034301212507977
Indoor Growing,Mushroom Kits,Single Kits,BTR-1002,11492.0,12820.0,1328.0,1328.0,0.11555864949530108,0.11555864949530108,0.884441350504699
Indoor Growing,Herb Kits,Single Herb,BTR-1202,11252.0,12418.0,1196.0,1166.0,0.10629221471738358,0.10362602204052612,0.8937077852826164
Indoor Growing,Water Garden,Consumables,BTR-1102,10515.0,14506.0,3991.0,3991.0,0.37955301949595815,0.37955301949595815,0.6204469805040418
Indoor Growing,Herb Kits,Single Herb,BTR-1203,8699.0,10730.0,2031.0,2031.0,0.23347511208184848,0.23347511208184848,0.7665248879181515
Indoor Growing,Water Garden,Systems,BTR-1101,7813.0,10319.0,2506.0,2506.0,0.3207474721617816,0.3207474721617816,0.6792525278382184
Outdoor Gardening,Garden Kits,Kids,BTR-2203,7088.0,7919.0,1621.0,831.0,0.228696388261851,0.11724040632054177,0.771303611738149
Indoor Growing,Herb Kits,Gifting,BTR-1204,6683.0,9395.0,2712.0,2712.0,0.40580577584916955,0.40580577584916955,0.5941942241508305
Indoor Growing,Mushroom Kits,Multi-Packs,BTR-1004,6242.0,7186.0,944.0,944.0,0.1512335789810958,0.1512335789810958,0.8487664210189042
Indoor Growing,Mushroom Kits,Single Kits,BTR-1003,6034.0,8971.0,2937.0,2937.0,0.48674179648657606,0.48674179648657606,0.5132582035134239
Indoor Growing,Herb Kits,Microgreens,BTR-1205,5767.0,6843.0,1076.0,1076.0,0.18657881047338304,0.18657881047338304,0.813421189526617
Indoor Growing,Water Garden,Systems,BTR-1103,5234.0,6443.0,1209.0,1209.0,0.23098968284294993,0.23098968284294993,0.76901031715705
Outdoor Gardening,Garden Kits,Planters,BTR-2202,5234.0,7346.0,2112.0,2112.0,0.4035154757355751,0.4035154757355751,0.5964845242644249
Indoor Growing,Mushroom Kits,Gifting,BTR-1005,5026.0,5431.0,405.0,405.0,0.08058097890966971,0.08058097890966971,0.9194190210903302
Outdoor Gardening,Seeds,Kids,BTR-2005,4680.0,7847.0,3167.0,3167.0,0.6767094017094017,0.6767094017094017,0.32329059829059825
Outdoor Gardening,Garden Kits,Beds,BTR-2201,4099.0,4621.0,522.0,522.0,0.12734813369114417,0.12734813369114417,0.8726518663088558
Outdoor Gardening,Garden Kits,Gifting,BTR-2204,3983.0,3280.0,703.0,-703.0,0.17650012553351746,-0.17650012553351746,0.8234998744664825
