month,opening_inventory_usd,receipts_current_usd,receipts_new_usd,receipt_saving_usd,cost_ratio,cogs_current_usd,cogs_new_usd,cogs_saving_usd,inventory_current_usd,inventory_new_usd,inventory_saving_usd,cumulative_receipt_saving,cumulative_cogs_saving,pnl_realisation_pct
2026-09,2525439.42,728547.07,713800.3,14746.77,0.995468,883938.02,879932.09,4005.93,2383237.23,2372436.62,10800.61,14746.77,4005.93,0.2716
2026-10,2383237.23,1219651.57,1180910.48,38741.09,0.986249,1112491.64,1097194.27,15297.37,2500621.48,2466236.56,34384.92,53487.86,19303.3,0.3609
2026-11,2500621.48,859362.05,825330.83,34031.22,0.979638,1155529.11,1132000.18,23528.94,2213724.23,2168648.27,45075.96,87519.08,42832.24,0.4894
2026-12,2213724.23,1205174.16,1148321.17,56852.99,0.970187,1137751.92,1103831.68,33920.24,2317411.22,2248321.34,69089.88,144372.07,76752.48,0.5316
2027-01,2317411.22,2835585.14,2710364.87,125220.27,0.962292,889590.25,856045.41,33544.84,4263406.07,4102640.76,160765.31,269592.34,110297.32,0.4091
2027-02,4263406.07,1098835.88,1078205.22,20630.66,0.966172,1143420.45,1104740.39,38680.06,4218821.52,4076105.61,142715.91,290223.0,148977.38,0.5133
2027-03,4218821.52,1728465.78,1681543.64,46922.14,0.968114,1556991.03,1507344.06,49646.96,4390296.29,4250305.2,139991.09,337145.14,198624.34,0.5891
2027-04,4390296.29,1588716.4,1557166.64,31549.76,0.97131,1698045.78,1649328.0,48717.78,4280966.93,4158143.86,122823.07,368694.9,247342.12,0.6709
2027-05,4280966.93,1667274.01,1621309.33,45964.68,0.971624,1500420.59,1457844.53,42576.05,4447820.34,4321608.64,126211.7,414659.58,289918.17,0.6992
2027-06,4447820.34,751106.34,739327.42,11778.92,0.973458,1166101.43,1135150.6,30950.82,4032825.27,3925785.47,107039.8,426438.5,320868.99,0.7524
2027-07,4032825.27,979769.07,937443.01,42326.06,0.970202,1002802.76,972921.13,29881.63,4009791.56,3890307.33,119484.23,468764.56,350750.62,0.7482
2027-08,4009791.56,1011798.94,995228.27,16570.67,0.972906,976170.21,949721.87,26448.34,4045420.26,3935813.71,109606.55,485335.23,377198.96,0.7772
