sku,sku_name,division,category,subcategory,supplier_id,lead_time_days,place_in_month,order_arrival_month,order_units,case_pack,moq_units,unit_cost_usd,order_value_usd,reorder_point,safety_stock,order_up_to,weeks_of_supply
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,95,2026-09,2027-01,129990,6,3000,6.7712,880188.29,89037.0,28615.0,108118.0,2.3
BTR-2101,Organic Potting Mix 12qt,Outdoor Gardening,Soils & Media,Potting,SUP-06,14,2026-09,2026-10,54294,6,10000,4.3,233464.2,36598.0,21872.0,68153.0,5.5
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,102,2026-09,2027-01,15864,4,1200,14.5888,231436.72,10935.0,3412.0,13148.0,6.4
BTR-1103,Self-Watering Countertop Grow Kit,Indoor Growing,Water Garden,Systems,SUP-04,110,2026-09,2027-01,11008,4,800,20.1663,221990.63,8908.0,2357.0,10695.0,0.0
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,95,2026-09,2027-01,25908,6,2000,7.2473,187763.05,22771.0,7328.0,27648.0,11.1
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,102,2026-09,2027-01,21456,6,2000,8.0636,173012.6,15213.0,4450.0,18379.0,7.8
BTR-1204,Herb Garden Trio Gift Set,Indoor Growing,Herb Kits,Gifting,SUP-03,88,2026-09,2026-12,13932,4,1200,12.1684,169530.15,13711.0,4722.0,16776.0,13.4
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,95,2026-09,2027-01,13168,4,1500,12.8018,168574.1,12071.0,3775.0,14691.0,11.7
BTR-1201,Windowsill Herb Kit - Basil,Indoor Growing,Herb Kits,Single Herb,SUP-04,110,2026-09,2027-01,26964,12,2400,5.2816,142413.06,30694.0,7199.0,37102.0,8.8
BTR-2202,Windowsill Planter Box,Outdoor Gardening,Garden Kits,Planters,SUP-08,21,2026-09,2026-10,7460,4,1200,14.2,105932.0,3767.0,1918.0,6409.0,1.7
BTR-2102,Organic Seed Starting Mix 8qt,Outdoor Gardening,Soils & Media,Starting,SUP-06,14,2026-09,2026-10,27822,6,8000,3.6,100159.2,24685.0,14922.0,45606.0,6.1
BTR-2001,Organic Seed Variety Pack - 12ct,Outdoor Gardening,Seeds,Variety Packs,SUP-05,35,2026-09,2026-11,23508,12,3000,3.8325,90094.41,23460.0,11697.0,33543.0,8.1
BTR-2203,Kids Pizza Garden Grow Kit,Outdoor Gardening,Garden Kits,Kids,SUP-03,88,2026-09,2026-12,9852,6,1500,8.8116,86811.88,12769.0,4135.0,15712.0,7.3
BTR-1203,Windowsill Herb Kit - Mint,Indoor Growing,Herb Kits,Single Herb,SUP-04,110,2026-09,2027-01,16392,12,1800,5.2816,86575.99,18703.0,5677.0,22256.0,10.6
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,88,2026-09,2026-12,2828,2,1000,29.7916,84250.64,10607.0,2368.0,13416.0,20.7
BTR-2204,Garden Gift Set - Grow Your Own,Outdoor Gardening,Garden Kits,Gifting,SUP-03,88,2026-09,2026-12,4764,4,900,17.6232,83956.92,8805.0,4042.0,10429.0,18.6
BTR-1205,Microgreens Grow Kit,Indoor Growing,Herb Kits,Microgreens,SUP-03,88,2026-09,2026-12,8400,12,1500,6.0842,51107.28,8488.0,1865.0,10746.0,6.4
BTR-1202,Windowsill Herb Kit - Cilantro,Indoor Growing,Herb Kits,Single Herb,SUP-04,110,2026-09,2027-01,9396,12,2400,5.2816,49625.91,21165.0,5160.0,25530.0,12.7
BTR-1102,Water Garden Refill & Seed Kit,Indoor Growing,Water Garden,Consumables,SUP-03,88,2026-09,2026-12,9876,12,2500,4.4058,43511.68,16234.0,4459.0,20248.0,15.9
BTR-2002,Organic Heirloom Tomato Seeds,Outdoor Gardening,Seeds,Vegetable,SUP-05,35,2026-09,2026-11,37176,24,6000,0.9709,36094.18,33151.0,15941.0,47902.0,8.4
BTR-2004,Organic Wildflower Pollinator Mix,Outdoor Gardening,Seeds,Flower,SUP-09,18,2026-09,2026-10,12144,24,4000,2.4192,29378.76,10168.0,5927.0,17237.0,6.2
BTR-2003,Organic Culinary Herb Seed Pack,Outdoor Gardening,Seeds,Herb,SUP-05,35,2026-09,2026-11,22320,24,6000,1.1242,25092.14,22912.0,10510.0,33542.0,5.8
BTR-2201,Raised Bed Starter Kit,Outdoor Gardening,Garden Kits,Beds,SUP-08,21,2026-10,2026-11,3226,1,600,32.5,104845.0,2206.0,1002.0,3926.0,5.4
BTR-2202,Windowsill Planter Box,Outdoor Gardening,Garden Kits,Planters,SUP-08,21,2026-10,2026-11,2920,4,1200,14.2,41464.0,3767.0,1918.0,6409.0,8.1
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,102,2026-10,2027-02,2372,4,1200,14.5888,34604.63,10935.0,3412.0,13148.0,5.9
BTR-2005,Kids Garden Seed Starter Kit,Outdoor Gardening,Seeds,Kids,SUP-05,35,2026-10,2026-12,3864,8,1500,6.3364,24483.85,6472.0,3209.0,9268.0,12.4
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,95,2026-11,2027-03,32640,6,3000,6.7712,221011.97,89037.0,28615.0,108118.0,0.0
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,88,2026-11,2027-02,3948,2,1000,29.7916,117617.24,10607.0,2368.0,13416.0,23.6
BTR-2102,Organic Seed Starting Mix 8qt,Outdoor Gardening,Soils & Media,Starting,SUP-06,14,2026-11,2026-12,24474,6,8000,3.6,88106.4,24685.0,14922.0,45606.0,4.9
