sku,month,opening_units,forecast_units,scheduled_receipts,planned_receipts,closing_units,stockout_units,reorder_point,safety_stock,order_up_to,months_of_cover,weeks_of_supply,unit_cost_usd,supplier_id,lead_time_days,order_placed_units,order_deferred_units,order_arrival_month,order_value_usd,deferred_value_usd,closing_value_usd,is_stockout,division,category,subcategory
BTR-1001,2026-09,28048.0,17206.0,0.0,0.0,10842.0,0.0,89037.0,28615.0,108118.0,0.52,2.3,6.7712,SUP-01,95,129990,0,2027-01,880188.29,0.0,73413.35,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1001,2026-10,10842.0,24099.0,28870.0,0.0,15613.0,0.0,89037.0,28615.0,108118.0,0.76,3.3,6.7712,SUP-01,95,0,0,,0.0,0.0,105718.75,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1001,2026-11,15613.0,31610.0,14628.0,0.0,0.0,1369.0,89037.0,28615.0,108118.0,0.0,0.0,6.7712,SUP-01,95,32640,0,2027-03,221011.97,0.0,0.0,True,Indoor Growing,Mushroom Kits,Single Kits
BTR-1001,2026-12,0.0,35942.0,32047.0,0.0,0.0,3895.0,89037.0,28615.0,108118.0,0.0,0.0,6.7712,SUP-01,95,0,0,,0.0,0.0,0.0,True,Indoor Growing,Mushroom Kits,Single Kits
BTR-1001,2027-01,0.0,16603.0,0.0,129990.0,113387.0,0.0,89037.0,28615.0,108118.0,6.55,28.3,6.7712,SUP-01,95,31572,0,2027-05,213780.33,0.0,767766.05,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1001,2027-02,113387.0,16288.0,0.0,0.0,97099.0,0.0,89037.0,28615.0,108118.0,5.55,24.0,6.7712,SUP-01,95,0,0,,0.0,0.0,657476.75,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1001,2027-03,97099.0,17721.0,0.0,32640.0,112018.0,0.0,89037.0,28615.0,108118.0,6.42,27.8,6.7712,SUP-01,95,33540,0,2027-07,227106.05,0.0,758496.28,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1001,2027-04,112018.0,18091.0,0.0,0.0,93927.0,0.0,89037.0,28615.0,108118.0,5.43,23.5,6.7712,SUP-01,95,0,0,,0.0,0.0,635998.5,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1001,2027-05,93927.0,17376.0,0.0,31572.0,108123.0,0.0,89037.0,28615.0,108118.0,6.26,27.1,6.7712,SUP-01,95,0,0,,0.0,0.0,732122.46,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1001,2027-06,108123.0,16647.0,0.0,0.0,91476.0,0.0,89037.0,28615.0,108118.0,5.21,22.5,6.7712,SUP-01,95,0,0,,0.0,0.0,619402.29,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1001,2027-07,91476.0,16898.0,0.0,33540.0,108118.0,0.0,89037.0,28615.0,108118.0,5.93,25.7,6.7712,SUP-01,95,0,0,,0.0,0.0,732088.6,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1001,2027-08,108118.0,18234.0,0.0,0.0,89884.0,0.0,89037.0,28615.0,108118.0,,,6.7712,SUP-01,95,0,0,,0.0,0.0,608622.54,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2026-09,16807.0,4328.0,0.0,0.0,12479.0,0.0,22771.0,7328.0,27648.0,2.55,11.1,7.2473,SUP-01,95,25908,0,2027-01,187763.05,0.0,90439.06,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2026-10,12479.0,5981.0,5025.0,0.0,11523.0,0.0,22771.0,7328.0,27648.0,2.41,10.4,7.2473,SUP-01,95,0,0,,0.0,0.0,83510.64,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2026-11,11523.0,7742.0,4310.0,0.0,8091.0,0.0,22771.0,7328.0,27648.0,1.82,7.9,7.2473,SUP-01,95,7950,0,2027-03,57616.04,0.0,58637.9,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2026-12,8091.0,8686.0,6296.0,0.0,5701.0,0.0,22771.0,7328.0,27648.0,1.45,6.3,7.2473,SUP-01,95,0,0,,0.0,0.0,41316.86,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2027-01,5701.0,3959.0,0.0,25908.0,27650.0,0.0,22771.0,7328.0,27648.0,7.06,30.6,7.2473,SUP-01,95,8070,0,2027-05,58485.71,0.0,200387.84,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2027-02,27650.0,3833.0,0.0,0.0,23817.0,0.0,22771.0,7328.0,27648.0,6.06,26.2,7.2473,SUP-01,95,0,0,,0.0,0.0,172608.94,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2027-03,23817.0,4114.0,0.0,7950.0,27653.0,0.0,22771.0,7328.0,27648.0,7.1,30.8,7.2473,SUP-01,95,7434,0,2027-07,53876.43,0.0,200409.59,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2027-04,27653.0,4144.0,0.0,0.0,23509.0,0.0,22771.0,7328.0,27648.0,6.14,26.6,7.2473,SUP-01,95,0,0,,0.0,0.0,170376.78,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2027-05,23509.0,3928.0,0.0,8070.0,27651.0,0.0,22771.0,7328.0,27648.0,7.28,31.5,7.2473,SUP-01,95,0,0,,0.0,0.0,200395.09,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2027-06,27651.0,3713.0,0.0,0.0,23938.0,0.0,22771.0,7328.0,27648.0,6.23,27.0,7.2473,SUP-01,95,0,0,,0.0,0.0,173485.87,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2027-07,23938.0,3719.0,0.0,7434.0,27653.0,0.0,22771.0,7328.0,27648.0,6.98,30.2,7.2473,SUP-01,95,0,0,,0.0,0.0,200409.59,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1002,2027-08,27653.0,3960.0,0.0,0.0,23693.0,0.0,22771.0,7328.0,27648.0,,,7.2473,SUP-01,95,0,0,,0.0,0.0,171710.28,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2026-09,8075.0,2697.0,0.0,0.0,5378.0,0.0,15213.0,4450.0,18379.0,1.79,7.8,8.0636,SUP-02,102,21456,0,2027-01,173012.6,0.0,43366.04,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2026-10,5378.0,3716.0,3894.0,0.0,5556.0,0.0,15213.0,4450.0,18379.0,1.9,8.2,8.0636,SUP-02,102,0,0,,0.0,0.0,44801.36,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2026-11,5556.0,4796.0,1775.0,0.0,2535.0,0.0,15213.0,4450.0,18379.0,0.93,4.0,8.0636,SUP-02,102,4872,0,2027-03,39285.86,0.0,20441.23,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2026-12,2535.0,5364.0,2194.0,0.0,0.0,635.0,15213.0,4450.0,18379.0,0.0,0.0,8.0636,SUP-02,102,0,0,,0.0,0.0,0.0,True,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2027-01,0.0,2438.0,0.0,21456.0,19018.0,0.0,15213.0,4450.0,18379.0,7.98,34.6,8.0636,SUP-02,102,4284,0,2027-05,34544.46,0.0,153353.54,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2027-02,19018.0,2353.0,0.0,0.0,16665.0,0.0,15213.0,4450.0,18379.0,6.98,30.2,8.0636,SUP-02,102,0,0,,0.0,0.0,134379.89,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2027-03,16665.0,2518.0,0.0,4872.0,19019.0,0.0,15213.0,4450.0,18379.0,8.05,34.9,8.0636,SUP-02,102,4500,0,2027-07,36286.2,0.0,153361.61,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2027-04,19019.0,2529.0,0.0,0.0,16490.0,0.0,15213.0,4450.0,18379.0,7.11,30.8,8.0636,SUP-02,102,0,0,,0.0,0.0,132968.76,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2027-05,16490.0,2390.0,0.0,4284.0,18384.0,0.0,15213.0,4450.0,18379.0,8.01,34.7,8.0636,SUP-02,102,0,0,,0.0,0.0,148241.22,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2027-06,18384.0,2252.0,0.0,0.0,16132.0,0.0,15213.0,4450.0,18379.0,6.96,30.1,8.0636,SUP-02,102,0,0,,0.0,0.0,130082.0,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2027-07,16132.0,2249.0,0.0,4500.0,18383.0,0.0,15213.0,4450.0,18379.0,7.7,33.3,8.0636,SUP-02,102,0,0,,0.0,0.0,148233.16,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1003,2027-08,18383.0,2388.0,0.0,0.0,15995.0,0.0,15213.0,4450.0,18379.0,,,8.0636,SUP-02,102,0,0,,0.0,0.0,128977.28,False,Indoor Growing,Mushroom Kits,Single Kits
BTR-1004,2026-09,8573.0,2166.0,0.0,0.0,6407.0,0.0,12071.0,3775.0,14691.0,2.7,11.7,12.8018,SUP-01,95,13168,0,2027-01,168574.1,0.0,82021.13,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1004,2026-10,6407.0,2976.0,2131.0,0.0,5562.0,0.0,12071.0,3775.0,14691.0,2.4,10.4,12.8018,SUP-01,95,0,0,,0.0,0.0,71203.61,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1004,2026-11,5562.0,3829.0,2417.0,0.0,4150.0,0.0,12071.0,3775.0,14691.0,1.93,8.4,12.8018,SUP-01,95,3852,0,2027-03,49312.53,0.0,53127.47,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1004,2026-12,4150.0,4272.0,3581.0,0.0,3459.0,0.0,12071.0,3775.0,14691.0,1.84,8.0,12.8018,SUP-01,95,0,0,,0.0,0.0,44281.43,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1004,2027-01,3459.0,1936.0,0.0,13168.0,14691.0,0.0,12071.0,3775.0,14691.0,7.85,34.0,12.8018,SUP-01,95,3868,0,2027-05,49517.36,0.0,188071.24,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1004,2027-02,14691.0,1863.0,0.0,0.0,12828.0,0.0,12071.0,3775.0,14691.0,6.85,29.7,12.8018,SUP-01,95,0,0,,0.0,0.0,164221.49,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1004,2027-03,12828.0,1988.0,0.0,3852.0,14692.0,0.0,12071.0,3775.0,14691.0,7.95,34.4,12.8018,SUP-01,95,3520,0,2027-07,45062.34,0.0,188084.05,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1004,2027-04,14692.0,1991.0,0.0,0.0,12701.0,0.0,12071.0,3775.0,14691.0,7.0,30.3,12.8018,SUP-01,95,0,0,,0.0,0.0,162595.66,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1004,2027-05,12701.0,1876.0,0.0,3868.0,14693.0,0.0,12071.0,3775.0,14691.0,8.2,35.5,12.8018,SUP-01,95,0,0,,0.0,0.0,188096.85,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1004,2027-06,14693.0,1763.0,0.0,0.0,12930.0,0.0,12071.0,3775.0,14691.0,7.15,31.0,12.8018,SUP-01,95,0,0,,0.0,0.0,165527.27,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1004,2027-07,12930.0,1756.0,0.0,3520.0,14694.0,0.0,12071.0,3775.0,14691.0,7.9,34.2,12.8018,SUP-01,95,0,0,,0.0,0.0,188109.65,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1004,2027-08,14694.0,1859.0,0.0,0.0,12835.0,0.0,12071.0,3775.0,14691.0,,,12.8018,SUP-01,95,0,0,,0.0,0.0,164311.1,False,Indoor Growing,Mushroom Kits,Multi-Packs
BTR-1005,2026-09,6854.0,2355.0,0.0,0.0,4499.0,0.0,10935.0,3412.0,13148.0,1.47,6.4,14.5888,SUP-02,102,15864,0,2027-01,231436.72,0.0,65635.01,False,Indoor Growing,Mushroom Kits,Gifting
BTR-1005,2026-10,4499.0,3339.0,2963.0,0.0,4123.0,0.0,10935.0,3412.0,13148.0,1.36,5.9,14.5888,SUP-02,102,2372,0,2027-02,34604.63,0.0,60149.62,False,Indoor Growing,Mushroom Kits,Gifting
BTR-1005,2026-11,4123.0,4434.0,2050.0,0.0,1739.0,0.0,10935.0,3412.0,13148.0,0.61,2.6,14.5888,SUP-02,102,2612,0,2027-03,38105.95,0.0,25369.92,False,Indoor Growing,Mushroom Kits,Gifting
BTR-1005,2026-12,1739.0,5105.0,3039.0,0.0,0.0,327.0,10935.0,3412.0,13148.0,0.0,0.0,14.5888,SUP-02,102,2372,0,2027-04,34604.63,0.0,0.0,True,Indoor Growing,Mushroom Kits,Gifting
BTR-1005,2027-01,0.0,2387.0,0.0,15864.0,13477.0,0.0,10935.0,3412.0,13148.0,5.15,22.3,14.5888,SUP-02,102,2624,0,2027-05,38281.01,0.0,196613.26,False,Indoor Growing,Mushroom Kits,Gifting
BTR-1005,2027-02,13477.0,2371.0,0.0,2372.0,13478.0,0.0,10935.0,3412.0,13148.0,5.07,21.9,14.5888,SUP-02,102,2544,0,2027-06,37113.91,0.0,196627.85,False,Indoor Growing,Mushroom Kits,Gifting
BTR-1005,2027-03,13478.0,2612.0,0.0,2612.0,13478.0,0.0,10935.0,3412.0,13148.0,5.05,21.9,14.5888,SUP-02,102,2620,0,2027-07,38222.66,0.0,196627.85,False,Indoor Growing,Mushroom Kits,Gifting
BTR-1005,2027-04,13478.0,2699.0,0.0,2372.0,13151.0,0.0,10935.0,3412.0,13148.0,4.94,21.4,14.5888,SUP-02,102,2856,0,2027-08,41665.61,0.0,191857.31,False,Indoor Growing,Mushroom Kits,Gifting
BTR-1005,2027-05,13151.0,2625.0,0.0,2624.0,13150.0,0.0,10935.0,3412.0,13148.0,4.92,21.3,14.5888,SUP-02,102,0,0,,0.0,0.0,191842.72,False,Indoor Growing,Mushroom Kits,Gifting
BTR-1005,2027-06,13150.0,2546.0,0.0,2544.0,13148.0,0.0,10935.0,3412.0,13148.0,4.8,20.8,14.5888,SUP-02,102,0,0,,0.0,0.0,191813.54,False,Indoor Growing,Mushroom Kits,Gifting
BTR-1005,2027-07,13148.0,2617.0,0.0,2620.0,13151.0,0.0,10935.0,3412.0,13148.0,4.6,19.9,14.5888,SUP-02,102,0,0,,0.0,0.0,191857.31,False,Indoor Growing,Mushroom Kits,Gifting
BTR-1005,2027-08,13151.0,2859.0,0.0,2856.0,13148.0,0.0,10935.0,3412.0,13148.0,,,14.5888,SUP-02,102,0,0,,0.0,0.0,191813.54,False,Indoor Growing,Mushroom Kits,Gifting
BTR-1101,2026-09,9909.0,2256.0,4774.0,0.0,12427.0,0.0,10607.0,2368.0,13416.0,4.78,20.7,29.7916,SUP-03,88,2828,0,2026-12,84250.64,0.0,370220.21,False,Indoor Growing,Water Garden,Systems
BTR-1101,2026-10,12427.0,2880.0,3636.0,0.0,13183.0,0.0,10607.0,2368.0,13416.0,5.13,22.2,29.7916,SUP-03,88,0,0,,0.0,0.0,392742.66,False,Indoor Growing,Water Garden,Systems
BTR-1101,2026-11,13183.0,3129.0,3609.0,0.0,13663.0,0.0,10607.0,2368.0,13416.0,5.45,23.6,29.7916,SUP-03,88,3948,0,2027-02,117617.24,0.0,407042.63,False,Indoor Growing,Water Garden,Systems
BTR-1101,2026-12,13663.0,3075.0,0.0,2828.0,13416.0,0.0,10607.0,2368.0,13416.0,5.51,23.9,29.7916,SUP-03,88,0,0,,0.0,0.0,399684.11,False,Indoor Growing,Water Garden,Systems
BTR-1101,2027-01,13416.0,2013.0,0.0,0.0,11403.0,0.0,10607.0,2368.0,13416.0,4.57,19.8,29.7916,SUP-03,88,5200,0,2027-04,154916.32,0.0,339713.61,False,Indoor Growing,Water Garden,Systems
BTR-1101,2027-02,11403.0,1935.0,0.0,3948.0,13416.0,0.0,10607.0,2368.0,13416.0,5.18,22.4,29.7916,SUP-03,88,3034,0,2027-05,90387.71,0.0,399684.11,False,Indoor Growing,Water Garden,Systems
BTR-1101,2027-03,13416.0,2574.0,0.0,0.0,10842.0,0.0,10607.0,2368.0,13416.0,4.18,18.1,29.7916,SUP-03,88,0,0,,0.0,0.0,323000.53,False,Indoor Growing,Water Garden,Systems
BTR-1101,2027-04,10842.0,2626.0,0.0,5200.0,13416.0,0.0,10607.0,2368.0,13416.0,5.19,22.5,29.7916,SUP-03,88,4900,0,2027-07,145978.84,0.0,399684.11,False,Indoor Growing,Water Garden,Systems
BTR-1101,2027-05,13416.0,3034.0,0.0,3034.0,13416.0,0.0,10607.0,2368.0,13416.0,5.51,23.9,29.7916,SUP-03,88,0,0,,0.0,0.0,399684.11,False,Indoor Growing,Water Garden,Systems
BTR-1101,2027-06,13416.0,2603.0,0.0,0.0,10813.0,0.0,10607.0,2368.0,13416.0,4.6,19.9,29.7916,SUP-03,88,0,0,,0.0,0.0,322136.57,False,Indoor Growing,Water Garden,Systems
BTR-1101,2027-07,10813.0,2296.0,0.0,4900.0,13417.0,0.0,10607.0,2368.0,13416.0,5.58,24.2,29.7916,SUP-03,88,0,0,,0.0,0.0,399713.9,False,Indoor Growing,Water Garden,Systems
BTR-1101,2027-08,13417.0,2403.0,0.0,0.0,11014.0,0.0,10607.0,2368.0,13416.0,,,29.7916,SUP-03,88,0,0,,0.0,0.0,328124.68,False,Indoor Growing,Water Garden,Systems
BTR-1102,2026-09,14151.0,3140.0,3555.0,0.0,14566.0,0.0,16234.0,4459.0,20248.0,3.68,15.9,4.4058,SUP-03,88,9876,0,2026-12,43511.68,0.0,64174.88,False,Indoor Growing,Water Garden,Consumables
BTR-1102,2026-10,14566.0,4071.0,3389.0,0.0,13884.0,0.0,16234.0,4459.0,20248.0,3.52,15.2,4.4058,SUP-03,88,0,0,,0.0,0.0,61170.13,False,Indoor Growing,Water Garden,Consumables
BTR-1102,2026-11,13884.0,4491.0,5467.0,0.0,14860.0,0.0,16234.0,4459.0,20248.0,3.82,16.6,4.4058,SUP-03,88,5892,0,2027-02,25958.97,0.0,65470.19,False,Indoor Growing,Water Garden,Consumables
BTR-1102,2026-12,14860.0,4482.0,0.0,9876.0,20254.0,0.0,16234.0,4459.0,20248.0,5.31,23.0,4.4058,SUP-03,88,0,0,,0.0,0.0,89235.07,False,Indoor Growing,Water Garden,Consumables
BTR-1102,2027-01,20254.0,2979.0,0.0,0.0,17275.0,0.0,16234.0,4459.0,20248.0,4.39,19.0,4.4058,SUP-03,88,7992,0,2027-04,35211.15,0.0,76110.2,False,Indoor Growing,Water Garden,Consumables
BTR-1102,2027-02,17275.0,2908.0,0.0,5892.0,20259.0,0.0,16234.0,4459.0,20248.0,4.94,21.4,4.4058,SUP-03,88,4776,0,2027-05,21042.1,0.0,89257.1,False,Indoor Growing,Water Garden,Consumables
BTR-1102,2027-03,20259.0,3927.0,0.0,0.0,16332.0,0.0,16234.0,4459.0,20248.0,3.95,17.1,4.4058,SUP-03,88,4152,0,2027-06,18292.88,0.0,71955.53,False,Indoor Growing,Water Garden,Consumables
BTR-1102,2027-04,16332.0,4069.0,0.0,7992.0,20255.0,0.0,16234.0,4459.0,20248.0,4.88,21.1,4.4058,SUP-03,88,0,0,,0.0,0.0,89239.48,False,Indoor Growing,Water Garden,Consumables
BTR-1102,2027-05,20255.0,4773.0,0.0,4776.0,20258.0,0.0,16234.0,4459.0,20248.0,5.13,22.2,4.4058,SUP-03,88,7680,0,2027-08,33836.54,0.0,89252.7,False,Indoor Growing,Water Garden,Consumables
BTR-1102,2027-06,20258.0,4158.0,0.0,4152.0,20252.0,0.0,16234.0,4459.0,20248.0,5.27,22.8,4.4058,SUP-03,88,0,0,,0.0,0.0,89226.26,False,Indoor Growing,Water Garden,Consumables
BTR-1102,2027-07,20252.0,3724.0,0.0,0.0,16528.0,0.0,16234.0,4459.0,20248.0,4.18,18.1,4.4058,SUP-03,88,0,0,,0.0,0.0,72819.06,False,Indoor Growing,Water Garden,Consumables
BTR-1102,2027-08,16528.0,3958.0,0.0,7680.0,20250.0,0.0,16234.0,4459.0,20248.0,,,4.4058,SUP-03,88,0,0,,0.0,0.0,89217.45,False,Indoor Growing,Water Garden,Consumables
BTR-1103,2026-09,1056.0,1710.0,0.0,0.0,0.0,654.0,8908.0,2357.0,10695.0,0.0,0.0,20.1663,SUP-04,110,11008,0,2027-01,221990.63,0.0,0.0,True,Indoor Growing,Water Garden,Systems
BTR-1103,2026-10,0.0,2240.0,1733.0,0.0,0.0,507.0,8908.0,2357.0,10695.0,0.0,0.0,20.1663,SUP-04,110,0,0,,0.0,0.0,0.0,True,Indoor Growing,Water Garden,Systems
BTR-1103,2026-11,0.0,2496.0,3110.0,0.0,614.0,0.0,8908.0,2357.0,10695.0,0.27,1.2,20.1663,SUP-04,110,3436,0,2027-03,69291.41,0.0,12382.11,False,Indoor Growing,Water Garden,Systems
BTR-1103,2026-12,614.0,2517.0,3787.0,0.0,1884.0,0.0,8908.0,2357.0,10695.0,0.84,3.6,20.1663,SUP-04,110,2376,0,2027-04,47915.13,0.0,37993.31,False,Indoor Growing,Water Garden,Systems
BTR-1103,2027-01,1884.0,1690.0,0.0,11008.0,11202.0,0.0,8908.0,2357.0,10695.0,4.82,20.9,20.1663,SUP-04,110,2820,0,2027-05,56868.97,0.0,225902.89,False,Indoor Growing,Water Garden,Systems
BTR-1103,2027-02,11202.0,1667.0,0.0,0.0,9535.0,0.0,8908.0,2357.0,10695.0,3.92,17.0,20.1663,SUP-04,110,2484,0,2027-06,50093.09,0.0,192285.67,False,Indoor Growing,Water Garden,Systems
BTR-1103,2027-03,9535.0,2273.0,0.0,3436.0,10698.0,0.0,8908.0,2357.0,10695.0,4.34,18.8,20.1663,SUP-04,110,2244,0,2027-07,45253.18,0.0,215739.08,False,Indoor Growing,Water Garden,Systems
BTR-1103,2027-04,10698.0,2379.0,0.0,2376.0,10695.0,0.0,8908.0,2357.0,10695.0,4.3,18.6,20.1663,SUP-04,110,2412,0,2027-08,48641.12,0.0,215678.58,False,Indoor Growing,Water Garden,Systems
BTR-1103,2027-05,10695.0,2820.0,0.0,2820.0,10695.0,0.0,8908.0,2357.0,10695.0,4.49,19.5,20.1663,SUP-04,110,0,0,,0.0,0.0,215678.58,False,Indoor Growing,Water Garden,Systems
BTR-1103,2027-06,10695.0,2482.0,0.0,2484.0,10697.0,0.0,8908.0,2357.0,10695.0,4.59,19.9,20.1663,SUP-04,110,0,0,,0.0,0.0,215718.91,False,Indoor Growing,Water Garden,Systems
