Metric,Baseline,Service 99%,Service 90%,Cash cap $1.0M/mo,Ocean +21 days,Demand +15%,Coverage rule (2mo)
Planned purchases,13080678.080000002,13570417.68,12819747.57,9933159.63,13712955.74,15667129.13,14133978.089999998
Average inventory,3592028.533333333,3967477.3475,3392914.5391666666,2190823.788333333,3966072.3383333334,4044240.59,4475922.9775
Ending inventory,4045420.2600000002,4535159.890000001,3784489.72,2093796.82,4732180.39,4674382.300000001,5098720.25
Safety stock $,1176279.0599999998,1666030.88,915274.72,1176279.0599999998,1391042.8499999999,1352694.8900000001,2229624.73
Inventory turns,3.9596715503818936,3.5849614114526456,4.192045814125743,6.492194062955799,3.586231409378945,4.044425331876707,3.1777251894411087
GMROI,4.605079285004937,4.169293165699669,4.875329454676679,7.550390989037044,4.170770167281236,4.70364766058589,3.695679365608565
Weeks of supply,15.347902097902098,16.896153846153847,14.525524475524472,9.565384615384614,17.21153846153846,14.914685314685316,18.21573426573427
Fill rate,0.9969075730665135,0.9969075730665135,0.9969075730665135,0.924960666682521,0.9948944915832333,0.98944031415664,0.9969075730665135
Stockout item-months,6.0,6.0,6.0,43.0,8.0,6.0,6.0
Short units,7412.0,7412.0,7412.0,179856.0,12237.0,29106.0,7412.0
Items at risk,4.0,4.0,4.0,22.0,4.0,4.0,4.0
Orders to place,168.0,170.0,167.0,58.0,161.0,169.0,172.0
Units deferred by cash cap,0.0,0.0,0.0,2926475.0,0.0,0.0,0.0
COGS saving (12mo),377198.96,380579.73,375007.88999999996,331891.84,386517.89,440692.22,367568.73
