month,forecast_units,receipts_units,planned_receipts_units,closing_units,closing_value_usd,purchases_usd,stockout_units,items_in_stockout,cogs_usd,weeks_of_supply,scenario
2026-09,140899.0,133712.0,0.0,365363.0,2383237.23,3280963.79,654.0,1,883938.0189,11.7,Baseline
2026-10,178518.0,97748.0,101720.0,386820.0,2500621.48,205397.47999999998,507.0,1,1112491.643,9.7,Baseline
2026-11,165826.0,65104.0,89150.0,376617.0,2213724.23,1203055.0,1369.0,1,1155529.1139,8.3,Baseline
2026-12,162126.0,70958.0,86606.0,376912.0,2317411.22,1018712.1,4857.0,3,1137751.9232,8.8,Baseline
2027-01,155089.0,0.0,416848.0,638671.0,4263406.07,1657603.46,0.0,0,889590.2493,20.8,Baseline
2027-02,211934.0,0.0,209191.0,635928.0,4218821.5200000005,1335337.88,0.0,0,1143420.4504,16.0,Baseline
2027-03,291017.0,0.0,321960.0,666871.0,4390296.29,1614216.18,0.0,0,1556991.0256,12.2,Baseline
2027-04,310243.0,0.0,289640.0,646268.0,4280966.93,1117084.74,0.0,0,1698045.7764,10.9,Baseline
2027-05,258662.0,0.0,280901.0,668507.0,4447820.34,823532.78,0.0,0,1500420.5858,12.8,Baseline
2027-06,196677.0,0.0,119212.0,591042.0,4032825.27,119648.97,0.0,0,1166101.4272,15.0,Baseline
2027-07,168531.0,0.0,179348.0,601859.0,4009791.56,705125.7,0.0,0,1002802.7639,17.3,Baseline
2027-08,157299.0,0.0,153153.0,597713.0,4045420.2600000002,0.0,0.0,0,976170.214,17.9,Baseline
2026-09,140899.0,133712.0,0.0,365363.0,2383237.23,3799422.75,654.0,1,883938.0189,11.7,Service 99%
2026-10,178518.0,97748.0,122062.0,407162.0,2637217.28,136672.93,507.0,1,1112491.643,10.3,Service 99%
2026-11,165826.0,65104.0,107247.0,415056.0,2358853.37,1340995.58,1369.0,1,1155529.1139,8.8,Service 99%
2026-12,162126.0,70958.0,106152.0,434897.0,2677218.52,866793.97,4857.0,3,1137751.9232,10.2,Service 99%
2027-01,155089.0,0.0,435360.0,715168.0,4699317.3,1711685.33,0.0,0,889590.2493,22.9,Service 99%
2027-02,211934.0,0.0,210639.0,713873.0,4708439.05,1335214.52,0.0,0,1143420.4504,17.8,Service 99%
2027-03,291017.0,0.0,321980.0,744836.0,4879889.38,1614235.2,0.0,0,1556991.0256,13.6,Service 99%
2027-04,310243.0,0.0,289660.0,724253.0,4770698.14,1117148.85,0.0,0,1698045.7764,12.2,Service 99%
2027-05,258662.0,0.0,280887.0,746478.0,4937588.25,823473.88,0.0,0,1500420.5858,14.2,Service 99%
2027-06,196677.0,0.0,119224.0,669025.0,4522658.600000001,119627.37,0.0,0,1166101.4272,16.8,Service 99%
2027-07,168531.0,0.0,179316.0,679810.0,4499451.16,705147.3,0.0,0,1002802.7639,19.4,Service 99%
2027-08,157299.0,0.0,153163.0,675674.0,4535159.89,0.0,0.0,0,976170.214,20.1,Service 99%
2026-09,140899.0,133712.0,0.0,365363.0,2383237.23,2978992.81,654.0,1,883938.0189,11.7,Service 90%
