SKU,Product,Division,Category,Subcategory,Supplier,Origin,Sourcing,Month,Date,Action,Action Rank,On Hand Units,Min,Max,Demand Units,In Transit Units,Planned Receipts,Inbound Units,Gap to Min Units,Gap to Min USD,Excess Units,Excess USD,Required at Min USD,On Hand USD,Order Units,Order USD,Unit Cost,Retail Price,Lead Time Days,Case Pack,MOQ,Safety Stock,Weeks of Supply,Stockout Units,Origin Surcharge
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2026-09,2026-09-01,Buy,2,10842.0,89037.0,108118.0,17206.0,0.0,0.0,0.0,78195.0,529473.984,0.0,0.0,602887.3344,73413.35,129990,880188.29,6.7712,21.99,95,6,3000,28615.0,2.3,0.0,0.0579999963711382
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2026-10,2026-10-01,Buy,2,15613.0,89037.0,108118.0,24099.0,28870.0,0.0,28870.0,73424.0,497168.5888,0.0,0.0,602887.3344,105718.75,0,0.0,6.7712,21.99,95,6,3000,28615.0,3.3,0.0,0.0579999963711382
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2026-11,2026-11-01,Stockout,1,0.0,89037.0,108118.0,31610.0,14628.0,0.0,14628.0,89037.0,602887.3344,0.0,0.0,602887.3344,0.0,32640,221011.97,6.7712,21.99,95,6,3000,28615.0,0.0,1369.0,0.0579999963711382
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2026-12,2026-12-01,Stockout,1,0.0,89037.0,108118.0,35942.0,32047.0,0.0,32047.0,89037.0,602887.3344,0.0,0.0,602887.3344,0.0,0,0.0,6.7712,21.99,95,6,3000,28615.0,0.0,3895.0,0.0579999963711382
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-01,2027-01-01,Excess,5,113387.0,89037.0,108118.0,16603.0,0.0,129990.0,129990.0,0.0,0.0,5269.0,35677.4528,602887.3344,767766.05,31572,213780.33,6.7712,21.99,95,6,3000,28615.0,28.3,0.0,0.0579999963711382
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-02,2027-02-01,In range,4,97099.0,89037.0,108118.0,16288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602887.3344,657476.75,0,0.0,6.7712,21.99,95,6,3000,28615.0,24.0,0.0,0.0579999963711382
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-03,2027-03-01,Excess,5,112018.0,89037.0,108118.0,17721.0,0.0,32640.0,32640.0,0.0,0.0,3900.0,26407.68,602887.3344,758496.28,33540,227106.05,6.7712,21.99,95,6,3000,28615.0,27.8,0.0,0.0579999963711382
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-04,2027-04-01,In range,4,93927.0,89037.0,108118.0,18091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602887.3344,635998.5,0,0.0,6.7712,21.99,95,6,3000,28615.0,23.5,0.0,0.0579999963711382
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-05,2027-05-01,Excess,5,108123.0,89037.0,108118.0,17376.0,0.0,31572.0,31572.0,0.0,0.0,5.0,33.856,602887.3344,732122.46,0,0.0,6.7712,21.99,95,6,3000,28615.0,27.1,0.0,0.0579999963711382
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-06,2027-06-01,In range,4,91476.0,89037.0,108118.0,16647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602887.3344,619402.29,0,0.0,6.7712,21.99,95,6,3000,28615.0,22.5,0.0,0.0579999963711382
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-07,2027-07-01,In range,4,108118.0,89037.0,108118.0,16898.0,0.0,33540.0,33540.0,0.0,0.0,0.0,0.0,602887.3344,732088.6,0,0.0,6.7712,21.99,95,6,3000,28615.0,25.7,0.0,0.0579999963711382
BTR-1001,Organic Mushroom Grow Kit - Oyster,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-08,2027-08-01,In range,4,89884.0,89037.0,108118.0,18234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602887.3344,608622.54,0,0.0,6.7712,21.99,95,6,3000,28615.0,,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2026-09,2026-09-01,Buy,2,12479.0,22771.0,27648.0,4328.0,0.0,0.0,0.0,10292.0,74589.2116,0.0,0.0,165028.2683,90439.06,25908,187763.05,7.2473,24.99,95,6,2000,7328.0,11.1,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2026-10,2026-10-01,Buy,2,11523.0,22771.0,27648.0,5981.0,5025.0,0.0,5025.0,11248.0,81517.6304,0.0,0.0,165028.2683,83510.64,0,0.0,7.2473,24.99,95,6,2000,7328.0,10.4,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2026-11,2026-11-01,Buy,2,8091.0,22771.0,27648.0,7742.0,4310.0,0.0,4310.0,14680.0,106390.364,0.0,0.0,165028.2683,58637.9,7950,57616.04,7.2473,24.99,95,6,2000,7328.0,7.9,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2026-12,2026-12-01,Buy,2,5701.0,22771.0,27648.0,8686.0,6296.0,0.0,6296.0,17070.0,123711.41100000001,0.0,0.0,165028.2683,41316.86,0,0.0,7.2473,24.99,95,6,2000,7328.0,6.3,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-01,2027-01-01,Excess,5,27650.0,22771.0,27648.0,3959.0,0.0,25908.0,25908.0,0.0,0.0,2.0,14.4946,165028.2683,200387.84,8070,58485.71,7.2473,24.99,95,6,2000,7328.0,30.6,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-02,2027-02-01,In range,4,23817.0,22771.0,27648.0,3833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165028.2683,172608.94,0,0.0,7.2473,24.99,95,6,2000,7328.0,26.2,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-03,2027-03-01,Excess,5,27653.0,22771.0,27648.0,4114.0,0.0,7950.0,7950.0,0.0,0.0,5.0,36.2365,165028.2683,200409.59,7434,53876.43,7.2473,24.99,95,6,2000,7328.0,30.8,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-04,2027-04-01,In range,4,23509.0,22771.0,27648.0,4144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165028.2683,170376.78,0,0.0,7.2473,24.99,95,6,2000,7328.0,26.6,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-05,2027-05-01,Excess,5,27651.0,22771.0,27648.0,3928.0,0.0,8070.0,8070.0,0.0,0.0,3.0,21.7419,165028.2683,200395.09,0,0.0,7.2473,24.99,95,6,2000,7328.0,31.5,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-06,2027-06-01,In range,4,23938.0,22771.0,27648.0,3713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165028.2683,173485.87,0,0.0,7.2473,24.99,95,6,2000,7328.0,27.0,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-07,2027-07-01,Excess,5,27653.0,22771.0,27648.0,3719.0,0.0,7434.0,7434.0,0.0,0.0,5.0,36.2365,165028.2683,200409.59,0,0.0,7.2473,24.99,95,6,2000,7328.0,30.2,0.0,0.0579999963711382
BTR-1002,Pink Oyster Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-01,China,Import,2027-08,2027-08-01,In range,4,23693.0,22771.0,27648.0,3960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165028.2683,171710.28,0,0.0,7.2473,24.99,95,6,2000,7328.0,,0.0,0.0579999963711382
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2026-09,2026-09-01,Buy,2,5378.0,15213.0,18379.0,2697.0,0.0,0.0,0.0,9835.0,79305.506,0.0,0.0,122671.54679999998,43366.04,21456,173012.6,8.0636,26.99,102,6,2000,4450.0,7.8,0.0,0.0610000481012331
